,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat
0,İstanbul,Kartal,Cumhuriyet Mahallesi,1890000,107,70,2+1,5-10,20
1,İstanbul,Kartal,Çavuşoğlu Mahallesi,1310000,120,105,3+1,0 (Yeni),Bahçe Katı
2,İstanbul,Başakşehir,Kayabaşı Mahallesi,900000,75,68,2+1,5-10,5
3,İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1575000,200,185,3+1,11-15,5
4,İstanbul,Eyüpsultan,Nişancı Mahallesi,775000,100,90,2+1,21 Ve Üzeri,4
5,İstanbul,Sarıyer,Rumeli Kavağı Mahallesi,1500000,115,90,2+1,21 Ve Üzeri,3
6,İstanbul,Sarıyer,Kumköy Mahallesi,4000000,275,250,5+1,21 Ve Üzeri,Villa Tipi
7,İstanbul,Küçükçekmece,Halkalı Merkez Mahallesi,1400000,124,80,2+1,3,6
8,İstanbul,Bağcılar,100. Yıl Mahallesi,760000,155,140,3+1,21 Ve Üzeri,4
9,İstanbul,Sancaktepe,Yunus Emre Mahallesi,495000,125,110,2+1,3,Yüksek Giriş
10,İstanbul,Çekmeköy,Mimar Sinan Mahallesi,1200000,165,140,3+2,4,Çatı Katı
11,İstanbul,Çekmeköy,Hamidiye Mahallesi,455000,55,45,1+1,4,Bahçe Katı
12,İstanbul,Sultanbeyli,Battalgazi Mahallesi,575000,80,70,2+1,5-10,1
13,İstanbul,Avcılar,Tahtakale Mahallesi,7000000,130,110,3+1,0 (Yeni),6
14,İstanbul,Başakşehir,Başak Mahallesi,1950000,90,80,2+1,11-15,8
15,İstanbul,Sarıyer,Yeniköy Mahallesi,761000000,900,800,8+ Oda,21 Ve Üzeri,Müstakil
16,İstanbul,Eyüpsultan,Nişancı Mahallesi,550000,85,75,2+1,5-10,Bahçe Katı
17,İstanbul,Ataşehir,Esatpaşa Mahallesi,745000,86,77,2+1,5-10,Yüksek Giriş
18,İstanbul,Maltepe,Fındıklı Mahallesi,620000,90,80,2+1,5-10,Yüksek Giriş
19,İstanbul,Eyüpsultan,Göktürk Merkez Mahallesi,8500000,390,235,4+1,0 (Yeni),1
20,İstanbul,Esenler,Menderes Mahallesi,759000,120,110,2+1,5-10,4
21,İstanbul,Esenyurt,Barbaros Hayrettin Paşa Mahallesi,580000,74,42,1+1,5-10,7
22,İstanbul,Çekmeköy,Çatalmeşe Mahallesi,675000,92,72,2+1,0 (Yeni),5
23,İstanbul,Esenyurt,Süleymaniye Mahallesi,559000,120,100,2+1,3,Yüksek Giriş
24,İstanbul,Maltepe,Zümrütevler Mahallesi,720000,110,85,2+1,11-15,1
25,İstanbul,Maltepe,Cevizli Mahallesi,2250000,180,160,3+2,5-10,4
26,İstanbul,Şişli,Kuştepe Mahallesi,6500000,228,227,3+2,21 Ve Üzeri,Villa Tipi
27,İstanbul,Kadıköy,Merdivenköy Mahallesi,4250000,255,245,5+1,16-20,9
28,İstanbul,Pendik,Esenler Mahallesi,540000,90,75,2+1,11-15,Düz Giriş
29,İstanbul,Arnavutköy,Arnavutköy Merkez Mahallesi,715000,145,135,2+1,5-10,2
30,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,350000,80,75,1+1,0 (Yeni),6
31,İstanbul,Bahçelievler,Siyavuşpaşa Mahallesi,980000,95,85,2+1,0 (Yeni),Yüksek Giriş
32,İstanbul,Başakşehir,Kayabaşı Mahallesi,900000,75,68,2+1,5-10,5
33,İstanbul,Esenler,Fatih Mahallesi,540000,85,75,2+1,5-10,Yüksek Giriş
34,İstanbul,Bahçelievler,Soğanlı Mahallesi,1400000,165,155,3+1,0 (Yeni),5
35,İstanbul,Beyoğlu,Bülbül Mahallesi,11050000,395,394,1 Oda,21 Ve Üzeri,Düz Giriş
36,İstanbul,Beşiktaş,Arnavutköy Mahallesi,17500000,145,75,6+3,21 Ve Üzeri,Müstakil
37,İstanbul,Pendik,Esenler Mahallesi,775000,95,85,2+1,3,2
38,İstanbul,Pendik,Esenler Mahallesi,778000,95,85,2+1,5-10,3
39,İstanbul,Ataşehir,Örnek Mahallesi,600000,55,50,1+1,0 (Yeni),Bahçe Katı
40,İstanbul,Bağcılar,100. Yıl Mahallesi,600000,125,115,2+1,21 Ve Üzeri,2
41,İstanbul,Maltepe,Bağlarbaşı Mahallesi,775000,90,80,2+1,21 Ve Üzeri,1
42,İstanbul,Üsküdar,Beylerbeyi Mahallesi,895000,80,60,2+1,21 Ve Üzeri,Yüksek Giriş
43,İstanbul,Küçükçekmece,Mehmet Akif Mahallesi,895000,160,150,3+2,2,3
44,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,429999,105,90,2+1,0 (Yeni),1
45,İstanbul,Ataşehir,Esatpaşa Mahallesi,850000,95,90,2+1,5-10,Yüksek Giriş
46,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,800000,125,105,2+1,5-10,1
47,İstanbul,Maltepe,Fındıklı Mahallesi,768000,90,80,2+1,11-15,1
