,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Krediye Uygunluk
0,0,9,132,1899000,145 M2,130 M2,6,0,7,
1,0,9,227,1299000,120 M2,110 M2,3,0,5,
2,0,9,150,2699000,172 M2,160 M2,6,0,5,
3,0,9,61,900000,150 M2,130 M2,6,7,3,
4,0,9,8,1949999,155 M2,145 M2,6,0,5,
5,0,9,8,1199999,120 M2,110 M2,3,0,3,
6,0,9,8,2399999,220 M2,200 M2,10,0,5,
7,0,9,8,1649999,140 M2,120 M2,3,0,9,
8,0,9,8,1199999,120 M2,110 M2,3,0,3,
9,0,9,227,1100000,110 M2,105 M2,3,0,5,
10,0,9,132,1899000,150 M2,140 M2,6,0,5,
11,0,9,61,1095000,150 M2,130 M2,6,8,5,
12,0,9,41,1750000,155 M2,140 M2,6,3,3,
13,0,9,227,1650000,220 M2,200 M2,7,0,9,
14,0,14,38,1850000,150 M2,135 M2,6,7,13,
15,0,9,61,629000,115 M2,100 M2,3,7,5,
16,0,16,65,1250000,90 M2,80 M2,5,5,3,
17,0,12,108,15000000,1.460 M2,460 M2,21,8,20,
18,0,9,132,1649000,115 M2,110 M2,3,0,5,
19,0,14,27,919000,120 M2,110 M2,3,6,7,
20,0,9,150,1650000,105 M2,100 M2,3,0,5,
21,0,14,43,535000,100 M2,95 M2,3,8,16,
22,0,9,8,1690000,110 M2,90 M2,3,0,3,
23,0,10,276,6000000,139 M2,100 M2,3,4,10,
24,0,9,227,1050000,95 M2,75 M2,3,8,7,
25,0,15,273,1000000,100 M2,90 M2,3,4,18,
26,0,26,250,9150000,270 M2,250 M2,10,5,21,
27,0,35,52,810000,55 M2,50 M2,1,0,18,
28,0,16,160,760000,85 M2,80 M2,3,5,3,
29,0,29,274,910000,160 M2,145 M2,9,8,16,
30,0,16,160,760000,85 M2,80 M2,3,5,3,
31,0,29,274,910000,160 M2,145 M2,9,8,16,
32,0,14,184,1100000,136 M2,126 M2,6,8,3,
33,0,14,219,930000,100 M2,90 M2,3,7,5,
34,0,16,160,750000,85 M2,80 M2,3,5,3,
35,0,25,159,1650000,150 M2,140 M2,6,7,5,
36,0,37,61,6000000,85 M2,60 M2,1,0,6,Bilinmiyor
37,0,2,60,720000,115 M2,108 M2,3,5,3,
38,0,15,273,1450000,86 M2,85 M2,3,0,3,
39,0,3,87,1500000,90 M2,85 M2,5,0,10,
40,0,3,87,1900000,120 M2,100 M2,9,0,9,
41,0,18,187,650000,78 M2,63 M2,3,8,16,
42,0,7,19,850000,85 M2,75 M2,3,0,18,
43,0,9,61,719999,130 M2,120 M2,3,0,5,
44,0,9,61,579999,120 M2,110 M2,3,0,3,
45,0,7,19,1150000,130 M2,120 M2,6,0,3,
46,0,9,61,699999,200 M2,190 M2,6,0,21,
47,0,9,61,679999,120 M2,110 M2,3,0,5,
48,0,2,158,800000,90 M2,80 M2,3,5,9,Bilinmiyor
49,0,22,111,2050000,170 M2,150 M2,10,8,5,
50,0,9,61,1100000,100 M2,95 M2,3,7,18,
51,0,9,49,699000,100 M2,90 M2,3,6,3,
52,0,9,61,479000,100 M2,90 M2,3,8,16,
53,0,22,27,2180000,110 M2,85 M2,3,8,5,
54,0,22,111,1940000TLarrow_downward,107 M2,90 M2,3,8,4,
55,0,3,33,3900000,215 M2,190 M2,12,5,9,
56,0,9,185,4290000,450 M2,360 M2,19,4,20,
57,0,9,227,889000TLarrow_downward,95 M2,85 M2,3,0,16,
58,0,9,8,1690000,115 M2,95 M2,3,0,5,
59,0,9,8,1689999,125 M2,115 M2,3,0,5,
60,0,9,8,1689999,125 M2,115 M2,3,0,5,
61,0,19,6,2495000,100 M2,90 M2,3,5,7,
62,0,9,8,1649000,140 M2,130 M2,6,7,5,
63,0,9,61,2439000,175 M2,150 M2,6,0,4,
64,0,9,227,1399999,145 M2,135 M2,6,0,7,
65,0,9,8,2799999,240 M2,210 M2,10,0,7,
66,0,22,275,1315000,60 M2,55 M2,1,8,10,
67,0,14,168,1095000,140 M2,120 M2,6,7,5,
68,0,14,110,935000,105 M2,95 M2,3,8,7,
69,0,9,104,2100000,245 M2,220 M2,13,2,21,
70,0,9,227,1400000,200 M2,185 M2,10,8,21,
71,0,14,181,469000,100 M2,90 M2,3,8,16,
72,0,0,124,3500000,420 M2,300 M2,3,8,20,Bilinmiyor
73,0,14,184,910000,100 M2,85 M2,3,0,5,
74,0,21,239,890000,75 M2,65 M2,1,8,18,
75,0,7,133,1120000,69 M2,58 M2,3,2,7,
76,0,9,227,935000,90 M2,75 M2,3,2,9,
77,0,9,61,1650000,165 M2,127 M2,6,1,9,
78,0,14,267,590000,100 M2,90 M2,3,0,7,
79,0,28,43,1260000,140 M2,130 M2,9,6,21,
80,0,14,14,568000,95 M2,80 M2,3,8,18,
81,0,14,119,589000,115 M2,105 M2,3,7,16,
82,0,3,249,780000,100 M2,94 M2,3,0,17,
